num docs: 32033
vocab size: 27
num params: 4192
wrote .\data\train.txt: 1000 docs
wrote .\data\val.txt: 2000 docs
wrote .\data\test.txt: 2000 docs
step     1/ 1000 | loss 3.3660 | avg50 3.3660 |  15.77 steps/s | elapsed   0.00m | eta   1.06m
step     2/ 1000 | loss 3.4243 | avg50 3.3951 |  13.14 steps/s | elapsed   0.00m | eta   1.27m
step     3/ 1000 | loss 3.1778 | avg50 3.3227 |  12.92 steps/s | elapsed   0.00m | eta   1.29m
step     4/ 1000 | loss 3.0664 | avg50 3.2586 |  14.71 steps/s | elapsed   0.00m | eta   1.13m
step     5/ 1000 | loss 3.2209 | avg50 3.2511 |  12.56 steps/s | elapsed   0.01m | eta   1.32m
step     6/ 1000 | loss 2.9452 | avg50 3.2001 |  12.64 steps/s | elapsed   0.01m | eta   1.31m
step     7/ 1000 | loss 3.2894 | avg50 3.2128 |  13.70 steps/s | elapsed   0.01m | eta   1.21m
step     8/ 1000 | loss 3.3245 | avg50 3.2268 |  14.15 steps/s | elapsed   0.01m | eta   1.17m
step     9/ 1000 | loss 2.8990 | avg50 3.1904 |  13.42 steps/s | elapsed   0.01m | eta   1.23m
step    10/ 1000 | loss 3.2229 | avg50 3.1936 |  13.07 steps/s | elapsed   0.01m | eta   1.26m
step    11/ 1000 | loss 2.7964 | avg50 3.1575 |  13.48 steps/s | elapsed   0.01m | eta   1.22m
step    12/ 1000 | loss 2.9345 | avg50 3.1389 |  13.37 steps/s | elapsed   0.01m | eta   1.23m
step    13/ 1000 | loss 3.0544 | avg50 3.1324 |  13.13 steps/s | elapsed   0.02m | eta   1.25m
step    14/ 1000 | loss 3.0905 | avg50 3.1294 |  12.97 steps/s | elapsed   0.02m | eta   1.27m
step    15/ 1000 | loss 3.0651 | avg50 3.1251 |  12.71 steps/s | elapsed   0.02m | eta   1.29m
step    16/ 1000 | loss 2.7337 | avg50 3.1007 |  12.67 steps/s | elapsed   0.02m | eta   1.29m
step    17/ 1000 | loss 2.8839 | avg50 3.0879 |  13.00 steps/s | elapsed   0.02m | eta   1.26m
step    18/ 1000 | loss 2.8977 | avg50 3.0774 |  12.70 steps/s | elapsed   0.02m | eta   1.29m
step    19/ 1000 | loss 2.7073 | avg50 3.0579 |  12.44 steps/s | elapsed   0.03m | eta   1.31m
step    20/ 1000 | loss 2.7453 | avg50 3.0423 |  12.33 steps/s | elapsed   0.03m | eta   1.32m
step    21/ 1000 | loss 3.7212 | avg50 3.0746 |  12.56 steps/s | elapsed   0.03m | eta   1.30m
step    22/ 1000 | loss 2.8026 | avg50 3.0622 |  12.03 steps/s | elapsed   0.03m | eta   1.35m
step    23/ 1000 | loss 2.8241 | avg50 3.0519 |  12.01 steps/s | elapsed   0.03m | eta   1.36m
step    24/ 1000 | loss 2.0374 | avg50 3.0096 |  11.86 steps/s | elapsed   0.03m | eta   1.37m
step    25/ 1000 | loss 3.3698 | avg50 3.0240 |  12.02 steps/s | elapsed   0.03m | eta   1.35m
step    26/ 1000 | loss 2.9154 | avg50 3.0198 |  12.21 steps/s | elapsed   0.04m | eta   1.33m
step    27/ 1000 | loss 3.2795 | avg50 3.0294 |  11.84 steps/s | elapsed   0.04m | eta   1.37m
step    28/ 1000 | loss 2.9195 | avg50 3.0255 |  11.74 steps/s | elapsed   0.04m | eta   1.38m
step    29/ 1000 | loss 2.3027 | avg50 3.0006 |  11.63 steps/s | elapsed   0.04m | eta   1.39m
step    30/ 1000 | loss 2.2691 | avg50 2.9762 |  11.57 steps/s | elapsed   0.04m | eta   1.40m
step    31/ 1000 | loss 2.8957 | avg50 2.9736 |  11.15 steps/s | elapsed   0.05m | eta   1.45m
step    32/ 1000 | loss 2.9539 | avg50 2.9730 |  11.24 steps/s | elapsed   0.05m | eta   1.44m
